adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/vAsFwNkxV0cHJWRJXkshg76rJRQ.jpg,"[10751, 18]",43959,en,Soul Surfer,"The true story of teen surfer Bethany Hamilton, who lost her arm in a shark attack and courageously overcame all odds to become a champion again, through her sheer determination and unwavering faith.",23.198,/urLCQDCOITabAud39ZwLbNFBrc4.jpg,2011-04-08,Soul Surfer,False,7.0,1081
False,/oOZM1C3wZtsZtdidVgEazeas7U4.jpg,"[10749, 35]",727745,en,The Kissing Booth 3,"It’s the summer before Elle heads to college, and she has a secret decision to make. Elle has been accepted into Harvard, where boyfriend Noah is matriculating, and also Berkeley, where her BFF Lee is headed and has to decide if she should stay or not.",40.766,/c7xcqnMDVQ5v1hJBm3AZ5YikNe6.jpg,2021-08-11,The Kissing Booth 3,False,7.0,1620
False,/6XznuR5s363S8ZqrqEFO0qXl7V5.jpg,"[10402, 18, 35, 10751]",470333,en,Hearts Beat Loud,"In the hip Brooklyn neighborhood of Red Hook, single dad and record store owner Frank is preparing to send his hard-working daughter Sam off to college while being forced to close his vintage shop. Hoping to stay connected through their shared musical passions, Frank urges Sam to turn their weekly jam sessions into a father-daughter live act. After their first song becomes an internet breakout, the two embark on a journey of love, growing up and musical discovery.",10.045,/h1wKptD8iXJbtAUSz9OlXS3q4Co.jpg,2018-06-08,Hearts Beat Loud,False,7.0,218
False,/bALW6bJuN1VW2xRsx49Hy7JIejG.jpg,"[53, 12, 16, 35, 14, 878]",340357,fr,Avril et le monde truqué,"France asleep in the nineteenth century, governed by steam and Napoleon VI, where scientists vanish mysteriously, a girl, Avril, goes in search of her missing scientist parents.",6.901,/cenqAhHFJRGf08L8rgvHTlFrLuL.jpg,2015-11-04,April and the Extraordinary World,False,7.0,269
False,/j1Q9PSiRxpUZPtzislzEsyDgRCy.jpg,"[10402, 18]",8428,en,Pump Up the Volume,"Mark Hunter, a lonely high school student, uses his shortwave radio to moonlight as the popular pirate DJ ""Hard Harry."" When his show gets blamed for a teen committing suicide, the students clash with high school faculty and the authorities.",10.0,/s1SyKrARJG2R7FyS4zkNdaekLAW.jpg,1990-08-22,Pump Up the Volume,False,7.0,283
False,/9zAhWbqVxYH3Hw7Z4LY8FG7l8E1.jpg,"[12, 16, 35, 10751]",127380,en,Finding Dory,Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?,43.591,/3UVe8NL1E2ZdUZ9EDlKGJY5UzE.jpg,2016-06-16,Finding Dory,False,7.0,11087
False,/43FpZytJjlReDAPrByR77i81mnr.jpg,[28],14943,ja,クローズZERO,"The students of Suzuran High compete for the King of School title. An ex-graduate yakuza is sent to kill the son of a criminal group, but he can't make himself do it as he reminds him of his youth.",13.942,/aZTuM2I9YuyQCCdCuIFtI069OYa.jpg,2007-10-26,Crows Zero,False,7.0,291
False,/inOxzdNoYXBLLhnxa4msA9TdglH.jpg,"[35, 18]",838,en,American Graffiti,A couple of high school graduates spend one final night cruising the strip with their buddies before they go off to college.,13.73,/1yFdtOV0b9UBUoBNbw0ZcyLbadk.jpg,1973-08-01,American Graffiti,False,7.0,1187
False,/xN88RKXxjPAcQsdBz6XavZ00PFh.jpg,[18],414453,en,Columbus,"When a renowned architecture scholar falls suddenly ill during a speaking tour, his son Jin finds himself stranded in Columbus, Indiana - a small Midwestern city celebrated for its many significant modernist buildings. Jin strikes up a friendship with Casey, a young architecture enthusiast who works at the local library.",8.095,/3ZE5Wl3CdfUH4BkWRmyMKPHkWHx.jpg,2017-08-04,Columbus,False,7.0,310
False,/4sRrO5evvhDWC8R9qBHm3ZDV8oI.jpg,"[35, 53, 18]",8079,hi,ओम शांति ओम,"Reincarnated 30 years after being killed in a suspicious on-set fire, a small-time actor is determined to punish the person who ignited the blaze.",18.548,/hQrwdiacMM5XDUkKdv3pCS6VFt8.jpg,2007-11-07,Om Shanti Om,False,7.0,281
